iter	Logloss
0	0.5902467176
1	0.4526524742
2	0.3959201245
3	0.3526794502
4	0.3137891469
5	0.2797813756
6	0.2555257423
7	0.2333323406
8	0.2163860703
9	0.2001199057
10	0.1821981447
11	0.1753457953
12	0.1677248742
13	0.162698184
14	0.1567048917
15	0.1506291563
16	0.1442702106
17	0.1400317802
18	0.1326324764
19	0.128718856
20	0.1252453029
21	0.1220160768
22	0.1164889395
23	0.1120951322
24	0.1100345546
25	0.1074023733
26	0.1053181841
27	0.1031836729
28	0.1018198126
29	0.09972816979
30	0.09851026385
31	0.09707933082
32	0.0954170159
33	0.0920173759
34	0.09017109974
35	0.08874229831
36	0.08715209543
37	0.08610275267
38	0.08445877308
39	0.08374612536
40	0.08273967087
41	0.08181960381
42	0.08035651756
43	0.07972968585
44	0.07732924191
45	0.07652376515
46	0.07566770595
47	0.07462178948
48	0.07384889315
49	0.0728638903
50	0.07076341103
51	0.06976066715
52	0.06938305443
53	0.06876595882
54	0.06825578792
55	0.06758104939
56	0.06674536522
57	0.06610789397
58	0.06537709829
59	0.06516018696
60	0.06460196322
61	0.06392385148
62	0.06337213775
63	0.06224847185
64	0.06146837724
65	0.06092903446
66	0.05932927193
67	0.05896961563
68	0.05837234712
69	0.05791919403
70	0.05763361659
71	0.05723309338
72	0.0568488553
73	0.05600911277
74	0.05534574482
75	0.05484326539
76	0.05447350455
77	0.053987523
78	0.05316414407
79	0.05263031174
80	0.05220591852
81	0.0517239758
82	0.0514402914
83	0.05009520811
84	0.04950564482
85	0.0491150538
86	0.04842870171
87	0.04804102115
88	0.04761753855
89	0.04722861041
90	0.04681258467
91	0.04647729932
92	0.04600859212
93	0.04534722918
94	0.04501384566
95	0.04481797311
96	0.04451298825
97	0.04429428036
98	0.04360846999
99	0.0432042455
100	0.04296493478
101	0.04252813403
102	0.04212327668
103	0.04192776562
104	0.04172582039
105	0.04118661098
106	0.04103155148
107	0.04071332264
108	0.04048043777
109	0.04015644545
110	0.03985065385
111	0.03946825696
112	0.03917372535
113	0.0390703195
114	0.03875626866
115	0.03845881373
116	0.03831189339
117	0.03817034079
118	0.03792041788
119	0.03701165829
120	0.03682126042
121	0.03657712289
122	0.03632409482
123	0.03622869179
124	0.03605535492
125	0.03598323589
126	0.03575700679
127	0.03515508613
128	0.03480698534
129	0.03455062491
130	0.03450662674
131	0.03427873069
132	0.03397966478
133	0.03370845721
134	0.03366736162
135	0.03347703755
136	0.03314662256
137	0.03299904974
138	0.03283241134
139	0.03266063668
140	0.03248746848
141	0.03224295973
142	0.03192480384
143	0.03180630986
144	0.03160258528
145	0.03149592208
146	0.03139501241
147	0.03086373682
148	0.03073347654
149	0.03056136142
